token	similarity
talking	0.7442938522603895
thinking	0.6866747198323191
crying	0.6477817518386415
drinking	0.6465562615985109
telling	0.6453528020178557
tricking	0.6425533357347691
touching	0.6347968726150918
bothered	0.6294294644136562
putting	0.6277693189532417
getting	0.6111978266501642
breaking	0.5986281538277737
saying	0.5818005570951229
thought	0.5796740245261296
doing	0.5782590711843362
embarrassing	0.5723938617516522
making	0.572270922567396
tossing	0.5687925283327244
working	0.5679597810379667
waiting	0.5621273893967303
realizing	0.5529010405078151
there	0.5476811861030065
something	0.5471802441265113
actually	0.5445993623332874
really	0.5440320473813332
thing	0.5410444557139872
having	0.5393171916772219
conversation	0.5312480761678222
knowing	0.5295501087018221
punctuate	0.5280878791772522
right	0.5271301491780679
everything	0.5267868702781036
because	0.524623562661686
hearing	0.5223361966498565
stealing	0.5217168046967711
bonding	0.5214472102475899
basically	0.5188361465489878
swingin	0.5184209910871942
going	0.5151947258260897
screenwriting	0.5137629922086198
playing	0.5122391871281433
peeing	0.5110748353579384
Especially	0.510184305010767
dragging	0.5077702403631098
other	0.5056036989242053
Taking	0.5036107234076428
leaving	0.501319894998749
everywhere	0.49776518816325577
willing	0.4959675508749693
obviously	0.49578928805335126
things	0.49232714380648496
rather	0.4906471882394785
familiar	0.49034220607065976
certain	0.4903333324338126
that	0.4898692873155102
trying	0.48928046832405003
Because	0.48918402745215234
some	0.4876450456020976
either	0.485350179125953
supposed	0.48462952970130774
lighting	0.4844048833150072
intentions	0.4810624240442571
sometime	0.47964961334254735
careful	0.4795920639921567
guessed	0.47916988616383893
apparently	0.4785454831691365
offering	0.4755004858896667
technically	0.4752203663994305
here	0.4745315432719054
healing	0.47311191000181235
think	0.4710514236146505
understand	0.4710309730141464
like	0.4701317708773452
embarrassed	0.46846332352730313
treated	0.46663395865312857
aging	0.46564201435149094
always	0.46532876311818006
just	0.4614834401330241
little	0.46122854245037614
terrible	0.4584944695514248
comments	0.4579741638059391
even	0.4554303770807629
whispers	0.4541907851774139
refreshingly	0.4539412158950027
question	0.45372425062330285
puddings	0.4533716572320883
normally	0.4502981068610539
accidentally	0.44562799992003016
freezing	0.4452817300416082
certainly	0.4436441837803642
probably	0.4423308304789123
meeting	0.44108213920802014
Really	0.43981041809574223
timing	0.43838018074296586
besides	0.43829552359717966
totally	0.43591688322027666
remastered	0.43439032512602593
remember	0.43271918927267755
personal	0.43208634403579776
sailing	0.4266750849860633
...	0.4250476288456138
still	0.42439962932247866
fashioned	0.4232668524518638
course	0.4230495581205995
There	0.42281296538019664
kind	0.4223647417414434
missing	0.42143217887530976
underpants	0.4213799094104842
not	0.4206300147309883
yourself	0.42051123088484843
Either	0.4185602624057377
activity	0.4182361287346358
Refurbishing	0.41770962398042943
methinks	0.4176878241029095
those	0.4171569927978828
ought	0.41638530580674277
otherwise	0.4161392477185247
know	0.4145034262591142
ridiculous	0.41399211265353486
believe	0.4122743123355497
should	0.412140189685624
matter	0.41120058737992016
different	0.40994508674686764
Totally	0.40831221209848256
enough	0.407101440773677
brought	0.40708774947439585
about	0.40619960284251816
important	0.4059713777731382
but	0.4058943179097713
everybody	0.40566601045868916
ground	0.40542608413536124
never	0.4053856009276159
strictly	0.4045104739446348
all	0.40432660491195216
Gather	0.40381314362080545
positively	0.40196287889530263
this	0.40181485003224027
them	0.4002902194623401
great	0.39969755672939977
dining	0.39967705882513005
these	0.39934106780011436
cracked	0.3981682378711631
,	0.397711351869777
immediately	0.39766121331552845
wanted	0.3951966228932108
common	0.39319153139921936
brighten	0.3920185031329696
press	0.39174038643474685
better	0.38996108976192256
they	0.389037624357945
talk	0.3887699399893726
stand	0.3878063479684936
time	0.3875232104036398
work	0.3871165025066575
entirely	0.3861359337616747
come	0.3856292677450941
pissed	0.3855184624676654
someone	0.3853457817035181
good	0.3850885723881895
tired	0.38426511599504776
hands	0.38343522375763617
recognize	0.3827026540522502
contemporary	0.38244823136043016
you	0.38208371259850793
myself	0.38153335396665383
filled	0.3807885709560463
prefers	0.3805909589709401
mean	0.38056695144838704
means	0.3802479125139681
very	0.3783205427335726
look	0.3783024585240626
inside	0.3758809403986578
together	0.37586757994255016
offered	0.37577242221025503
allowed	0.3754920471770724
while	0.37531386298787284
stringing	0.3744410580770532
and	0.3741959227741468
politics	0.3727061711333588
mother	0.3725010253572929
could	0.3716280240862765
both	0.3710368783877284
found	0.36677361048488577
the	0.36621151504955524
have	0.3660062171498044
start	0.3658662929102309
normal	0.36578262583378957
halfheartedly	0.3653887626241855
night	0.36507395092420947
would	0.36493925898400653
likes	0.36484971300433305
people	0.3645001662596804
control	0.3641315289950172
done	0.36163201887337115
explain	0.36163141213221106
expected	0.361014292800074
interior	0.3597550365127535
called	0.3588423408487428
resented	0.3581269986580513
fact	0.35806136070240613
used	0.35779445081954747
Right	0.3570087494743066
what	0.35666656251611817
face	0.35575755185401853
checked	0.3550279353807307
twisted	0.3540865512579901
happy	0.35396255899072626
shower	0.35252602151293444
special	0.35194107484556003
your	0.35055441335574
shoulder	0.3500737459726896
public	0.3490993272450203
temptations	0.34860681082027284
officially	0.34767018632443597
figured	0.34759890909140684
suggest	0.34698910282264855
wonder	0.3458107577882126
quite	0.3457366107440245
break	0.34308168868775396
somebody	0.34253287731714155
dramatic	0.34248655555171886
around	0.34216238242570446
use	0.34140008467256117
weathered	0.3409418537946008
then	0.3398945502708456
generators	0.33938594618886636
Struggle	0.33913479549926945
where	0.3383528533095785
sure	0.33828729067185115
listen	0.33801315353053224
jokes	0.33791570474874566
able	0.33787539366663694
breast	0.33749893495164196
faces	0.3374830054457996
criminal	0.33733560121652406
made	0.3372727390944957
sense	0.33681272969128084
Honestly	0.3367523160386722
their	0.33671215619669553
construction	0.3365431129847667
turn	0.3360266645303944
tradition	0.3356615341173127
looks	0.3342485247464002
.	0.3341802275863376
stop	0.33390896188517716
father	0.332510601408114
permanently	0.33215726218712993
seen	0.3316372481232483
parents	0.3303860007269762
love	0.3299824430037231
future	0.3283093738896513
skewed	0.32728226694333384
too	0.327081776604623
honorable	0.3268211290887448
any	0.32623361302687454
perfect	0.3261196952667067
move	0.3257820368979651
removed	0.3252568566906751
sounds	0.3235550176513683
decision	0.32331668114618134
witness	0.32300418235139233
with	0.3218339265926262
life	0.31988479387581653
one	0.3198710911461854
chemicals	0.31957063964805715
finally	0.3193884344305736
more	0.3186850837347961
starts	0.3184066819678872
seemed	0.3182767245172136
parent	0.3177906320157241
And	0.31688430971475273
way	0.31687640421258695
whole	0.31686711562423914
But	0.3167415879118437
only	0.31561494456103945
sorry	0.3148707846044055
fingers	0.3124329014530189
notice	0.3120878082577731
need	0.3113183104031578
amazing	0.3109385669960016
well	0.3102986258704671
pretty	0.3101378434547695
nervous	0.30979571516688637
welcome	0.3082664804572138
head	0.3081547106297163
assure	0.30812078612476473
want	0.3069432816628267
crazy	0.3068408927863146
stupid	0.3066827856354688
money	0.3064961661176154
Exactly	0.30630830133492537
when	0.3047475076865139
inferior	0.30452305244879213
mind	0.3042200808307296
take	0.30391304654898355
agree	0.30341297950064905
now	0.30268054771062713
fireworks	0.30209207535439814
feel	0.30151879414547467
wrong	0.3014163886721453
legal	0.30131445187912576
genuinely	0.30048769471809905
stuff	0.3001501664926201
